time,helicopter,atc,airplane
20:32:44.4,,TWR-A Bluestreak fifty two sixty nine winds are three one direct one DCA-LC Bluestreak fifty two sixty nine winds are three one zero at one eight gust two six * * takeoff. [transmission broken] eight gusts two six runway one cleared for takeoff.,
20:32:49.5,INT-1 okay ma'am you can fly. sounds like you've communicated all that needs to be communicated.,,
20:32:50.5,,,JIA5269 runway one cleared for takeoff Bluestreak fifty two sixty nine.
20:32:53.0,,TWR-A Bluestreak * *. DCA-LC Bluestreak fifty thirty eight left turn at sierra or at the end ground point seven.,
20:32:54.0,INT-2 okay sounds good. do you want me to fly?,,
20:32:55.9,INT-1 sure.,,
20:32:56.5,INT-2 alright I have flight controls.,,
20:32:57.2,,,JIA5038 uh left turn at the end and ground point seven Bluestreak fifty thirty eight.
20:32:57.3,INT-1 you do have flight controls.,,
20:32:58.1,INT-2 yup.,,
20:33:00.6,,DCA-LC Bluestreak five zero two five Washington Tower runway one line up and wait traffic lands runway three three.,
20:33:06.6,,,JIA5025 * runway one line up and wait Bluestreak five zero two five.
20:33:09.6,INT-1 right front's inside.,,
20:33:09.9,,DCA-LC Bluestreak fifty two eighty six Washington Tower runway one cleared to land traffic departs prior to your arrival.,
20:33:11.4,INT-2 rog.,,
20:33:14.5,,,JIA5286 cleared to land one Bluestreak fifty two eighty six.
20:33:16.5,,TWR-A PAT two five Washington Tower IDENT. DCA-LC PAT two five Washington Tower IDENT.,
20:33:19.5,RDO-1 there goes PAT two five. PAT25 there goes PAT two five. [loud static during transmission],,
20:33:21.6,INT-2 IDENT.,,
20:33:21.6,,UAL1531 tower United fifteen thirty one's with you just inside KATRN.,
20:33:24.6,,TWR-A * * * squawk * * gust two six runway one. [transmission broken] DCA-LC United fifteen thirty one Washington Tower winds are three one zero at one niner gusts two six. runway one cleared to land.,
20:33:31.1,,UAL1531 cleared to land runway one United fifteen thirty one.,
20:33:33.3,,TWR-A PAT * * north of the * say your request. [transmission broken] DCA-LC PAT two five radar contact six miles north of Bethesda at one thousand five hundred feet uh say again your request.,
20:33:41.2,RDO-1 PAT two five is looking for Cabin John route one to route four to PAT25 PAT two five is looking for Cabin John route one route four to Davison. Davison. [loud static during transmission],,
20:33:46.6,,TWR-A PAT two five approved. DCA-LC PAT two five approved.,
20:33:48.1,RDO-1 approved two five. DCA-LC Bluestreak fifty two sixty nine contact Potomac Departure. [transmission made simultaneously to transmission from PAT-25],,
20:33:49.2,,TWR-A * contact departure.,
20:33:50.9,,,JIA5269 over to departure see ya Bluestreak fifty two sixty nine.
20:33:51.0,INT-2 *.,,
20:33:52.8,,DCA-LC see ya.,
20:34:02.6,,BLJK1 * * zone two * route one heading boardwalk. [transmission BLJK1 National Tower Blackjack one approaching Woods Corner broken] request zone three zone two split the p's route one Pentagon boardwalk.,
20:34:13.9,,TWR-A Blackjack one Washington Tower standby. DCA-LC Blackjack one Washington Tower standby.,
20:34:16.5,,BLJK1 *. BLJK1 Blackjack one.,
20:34:17.8,INT-1 right front's back outside.,,
20:34:18.5,INT-2 com sounds really crappy.,,
20:34:21.0,INT-2 do they have a U-H-F?,,
20:34:21.3,,TWR-A * winds are three two * * mile final runway one *. [transmission DCA-LC Bluestreak fifty twenty five winds are three two zero at one six broken] gusts two six traffic three mile final runway one cleared for takeoff.,
20:34:24.3,INT-2 we got a master caution for the aux fuel.,,
20:34:26.2,INT-1 roger. what'd you say right before that?,,
20:34:27.5,,,JIA5025 runway one cleared for takeoff Bluestreak fifty twenty five.
20:34:30.0,INT-2 oh I was gonna do they have a U-H-F...or don't they?,,
20:34:30.7,,TWR-A Bluestreak fifty * left uh left turn at sierra. DCA-LC Bluestreak fifty six zero eight left turn at uh left turn at sierra ground point seven.,
20:34:32.3,INT-1 um...,,
20:34:35.7,,,JIA5608 left sierra ground point seven good night Bluestreak fifty six oh eight.
20:34:35.9,INT-2 he still sounds really crappy.,,
20:34:37.3,INT-1 ...they do but uh I don't know if they use it.,,
20:34:37.8,,TWR-A Brickyard * * cross runway three three * *. [transmission broken] DCA-LC good night. Brickyard forty seven fifty two Washington Tower runway three three line up and wait traffic lands runway one.,
20:34:39.2,INT-2 master caution for the aux fuel.,,
20:34:42.8,INT-1 roger.,,
20:34:43.0,,RPA5752 runway three three line up and wait Brickyard fifty seven fifty two.,
20:34:45.9,,TWR-A and Blackjack one you said you want to do zone three zone DCA-LC and Blackjack one you said you want to do zone three zone four? four?,
20:34:50.2,,BLJK1 tower for Blackjack one request zone three zone two split the p's BLJK1 tower for Blackjack one request zone three zone two split the p's followed by route one * *. [transmission broken] followed by route one pentagon track boardwalk. [transmission stepped on by simultaneous transmission from airplane frequency],
20:34:53.3,,UAL1531 United fifteen thirty one we're slowin' to final. [transmission made during previous helicopter transmission],
20:35:00.4,,UAL2472 tower twenty four seventy two uh Mount Ver— Vernon Visual one.,
20:35:03.9,,TWR-A Blackjack one approved report landing assured. DCA-LC Blackjack one approved report landing assured.,
20:35:07.0,,BLJK1 Blackjack one approved. BLJK1 Blackjack one approved.,
20:35:08.1,INT-1 split the p's what?,,
20:35:09.3,,TWR-A Bluestreak fifty twenty five contact departure. DCA-LC Bluestreak fifty twenty five contact Potomac Departure.,
20:35:10.4,INT-2 *.,,
20:35:11.3,,,JIA5025 departure good night Bluestreak fifty twenty five.
20:35:12.3,INT-2 I thought they didn't want us doing that.,,
20:35:13.4,,TWR-A good night. * * *. DCA-LC good night. * four seventy two Wash Tower you say you're on frequency.,
20:35:13.9,INT-1 Blackjack out here running amok.,,
20:35:17.1,INT-2 [sound of laugh],,
20:35:19.4,,MUSL12 tower Muscle twelve request zone four. MUSL12 tower Muscle twelve request zone four.,
20:35:21.4,,UAL2472 tower United twenty four seventy two on visual one.,
20:35:23.9,,TWR-A * Washington Tower winds are three two direct one six gust six DCA-LC United twenty four seventy two Washington Tower winds are traffic * arrival runway one *. [transmission broken] three two zero at one six gusts two six traffic departs prior to your arrival runway one cleared to land.,
20:35:32.3,,UAL2472 cleared to land United twenty four seventy two.,
20:35:34.3,,TWR-A Muscle twelve you said zone four? DCA-LC Muscle twelve you said zone four?,
20:35:35.8,,MUSL12 a-firm. MUSL12 a-firm.,
20:35:36.8,,TWR-A Muscle twelve zone four approved. DCA-LC Muscle twelve zone four approved.,
20:35:38.5,,MUSL12 * * twelve. [transmission broken] MUSL12 copy. Muscle twelve.,
20:35:52.1,,,JIA5247 tower Bluestreak fifty two forty seven is with you M-T-V one.
20:36:07.9,,,JIA5247 tower Bluestreak fifty two forty seven M-T-V one. [transmission broken]
20:36:10.8,,TWR-A Bluestreak * forty seven Washington Tower winds are three two * DCA-LC Bluestreak fifty two forty seven Washington Tower winds are * *. [transmission broken] three two zero at one six gusts two six runway one cleared to land traffic departs prior to you.,
20:36:18.0,,,JIA5247 runway one cleared to land Bluestreak fifty two forty seven.
20:36:22.3,,TWR-A Bluestreak * * turn left *. [transmission broken] DCA-LC Bluestreak fifty two (eighty) six if able turn left on mike ground point seven.,
20:36:28.0,,,JIA5286 alright mike. ground point seven Bluestreak fifty two eighty s—.
20:36:35.8,,TWR-A Brickyard * * hold position runway three three * one more arrival DCA-LC Brickyard fifty seven fifty two continue to hold position runway off runway one. [transmission broken] three three there'll be one more arrival off runway one.,
20:36:41.2,,RPA5752 alright we'll continue holding on runway three three Brickyard fifty seven fifty two.,
20:36:41.3,INT-1 just for your awareness I put them in two.,,
20:36:44.5,INT-2 okay thanks.,,
20:36:46.4,INT-1 see if it'll pick them up a little better.,,
20:36:51.2,INT-1 you are five K from Cabin John I'm sure you have it in sight.,,
20:36:56.4,INT-2 I believe that's it that bridge.,,
20:36:58.4,INT-1 a-firm.,,
20:37:18.9,,TWR-A Blackjack one do you have uh Muscle thirteen just two miles DCA-LC Blackjack one do you have uh Muscle thirteen just two miles north of you one thousand one hundred feet? [sounds of rapid north of you one thousand one hundred feet? [sounds of rapid beeping consistent with conflict alert audible in background while beeping consistent with conflict alert audible in background] tower is transmitting],
20:37:26.1,,TWR-A Muscle thirteen traffic just (four) miles south of you Blackjack DCA-LC Muscle thirteen traffic just * mile south of you is Blackjack one one. [transmission broken] nine hundred feet.,
20:37:29.7,,MUSL13 Muscle thirteen searching for traffic. MUSL13 and Muscle thirteen looking for traffic. [loud static heard in background],
20:37:31.4,,BLJK1 visual sep. BLJK1 maintain visual sep.,
20:37:32.2,,TWR-A visual separation approved Blackjack one. DCA-LC visual separation approved Blackjack one.,
20:37:33.9,,TWR-A * fifteen thirty one left turn november ground point seven. DCA-LC United fifteen thirty one left turn november ground point seven.,
20:37:37.0,,UAL1531 left november ground point seven United fifteen thirty one.,
20:37:39.1,,TWR-A Brickyard fifty seven * winds are three two direct one three gust DCA-LC Brickyard fifty seven fifty two winds are three two zero at one two six traffic on a two mile final for runway one no delay runway three gusts two six traffic two mile final for runway one. no delay. three three clear for takeoff. runway three three cleared for takeoff.,
20:37:47.2,,RPA5752 runway three three and cleared for takeoff Brickyard fifty seven fifty two.,
20:37:50.2,,TWR-A and Muscle thirteen do you (see/have) that Blackjack in sight? DCA-LC and Muscle thirteen did you have Blackjack in sight?,
20:37:53.3,,MUSL13 negative for Muscle thirteen still searching. MUSL13 negative for Muscle thirteen still searching. [loud static in background],
20:37:55.1,,TWR-A Blackjack correction Muscle thirteen traffic south * four miles DCA-LC Blackjack correction Muscle thirteen traffic is now just one mile south no factor * they're * eight hundred. [transmission broken] south of you no factor they're at currently at eight hundred feet.,
20:38:02.1,,MUSL13 Muscle thirteen still searching for traffic we'll be heading MUSL13 Muscle thirteen (searching/still looking) for traffic we'll be headed northbound * *. northbound towards College Park. [loud static in background],
20:38:04.0,INT-1 left seat's inside.,,
20:38:05.5,INT-2 say again? you're good I got your scan.,,
20:38:05.4,,TWR-A *. DCA-LC Muscle thirteen roger. [sounds of rapid beeping consistent with conflict alert audible in background],
20:38:10.2,,,JIA5170 tower Bluestreak fifty one seventy visual for runway three three.
20:38:11.3,INT-2 thirteen at Cabin John.,,
20:38:14.6,,TWR-A Bluestreak fifty one seventy Washington Tower winds are three DCA-LC Bluestreak fifty one seventy Washington Tower winds are three two direct one three gust two six * *. [transmission broken] two zero at one three gusts two six runway three three cleared to land.,
20:38:20.2,,,JIA5170 alright three three cleared to land Bluestreak fifty one seventy.
20:38:27.1,,TWR-A Brickyard fifty seven (fifty/sixty) two contact *. DCA-LC Brickyard fifty seven fifty two contact Potomac Departure.,
20:38:29.8,,RPA5752 departure Brickyard fifty seven fifty two see ya.,
20:38:31.8,,TWR-A see ya. DCA-LC see ya.,
20:38:35.8,INT-1 what's up ma'am where we going?,,
20:38:38.1,INT-2 down the river. uh route one to four.,,
20:38:42.7,INT-1 uh you just took a right turn which is gonna take us back to Great Falls and *.,,
20:38:46.4,,TWR-A Bluestreak fifty one twenty five * aircraft four mile final runway DCA-LC Bluestreak fifty one twenty five tower traffic four mile final for one line up and wait. runway one line up and wait.,
20:38:47.2,INT-2 oh excuse me. okay * I should be headed...alright. coming to the...left.,,
20:38:50.4,,,JIA5125 line up and wait runway one Bluestreak fifty one twenty five.
20:38:57.4,INT-3 clear left.,,
20:38:58.2,INT-1 I mean I'm all game for it but we just gotta let the dude know.,,
20:39:00.8,INT-2 haha no totally fair.,,
20:39:04.6,INT-1 I am all game for goin to shake up some Great Falls at twenty feet tonight. we didn't brief it so we'll have to make a blood pact.,,
20:39:10.5,INT-2 nope. right.,,
20:39:11.4,,TWR-A * four seven two left turn at november one *. [transmission DCA-LC United twenty four seventy two left turn at november one join broken] juliet ground point seven.,
20:39:14.9,INT-1 alright a little right pedal. yeah that'll help it feel smoother.,,
20:39:16.2,,UAL2472 * november one juliet ground point uh seven United twenty four seventy two.,
20:39:19.3,INT-2 let's see if it feels smoother.,,
20:39:21.8,,TWR-A * keep your speed up * * right behind you. [transmission broken] DCA-LC if able just keep your speed up exiting the runway for traffic will roll right behind you.,
20:39:25.4,,UAL2472 roger keep speed up United twenty four seventy two.,
20:39:27.1,,DCA-LC thank you.,
20:39:28.8,INT-2 I'm with it alright. *.,,
20:39:30.3,,TWR-A Bluestreak fifty one seventy two winds are three two direct one DCA-LC Bluestreak fifty one seventy two winds are three two zero at one two gust two six traffic's on a four mile final without delay runway two gusts two six traffic on a four mile final. without delay runway one clear for takeoff. one cleared for takeoff. [addressing Bluestreak 5125],
20:39:38.0,,,JIA5125 all clear for takeoff Bluestreak fifty one twenty five.
20:39:45.4,,MUSL12 tower Muscle twelve request uh direct back to Andrews. MUSL12 tower Muscle twelve request uh direct back to Andrews. [loud static in background],
20:39:49.7,,JBU2355 Washington Tower JetBlue twenty three fifty five visual one.,
20:39:53.5,,TWR-A Muscle twelve approved. DCA-LC Muscle twelve approved.,
20:39:55.4,,MUSL12 Muscle twelve. and request freq change. MUSL12 Muscle twelve. and request freq change. [loud static in background],
20:39:58.2,,TWR-A * stand by for *. [transmission broken] DCA-LC (you’ll have to) standby for handoff.,
20:39:59.9,,MUSL12 copy. MUSL12 copy. [loud static in background],
20:40:06.2,INT-2 okay.,,
20:40:09.0,INT-1 alright down to thirteen hundred feet we're already a little low.,,
20:40:11.7,INT-2 alright. oh wow yeah okay.,,
20:40:16.8,INT-1 thirteen hundred feet to Chain Bridge at Chain Bridge down to seven hundred of the feets.,,
20:40:18.8,INT-2 okay. yeah.,,
20:40:21.1,INT-1 so we'll just maintain here we're already at seven.,,
20:40:21.3,,JBU2355 Washington Tower JetBlue twenty three fifty five Mount Vernon Visual one.,
20:40:23.6,INT-2 okay.,,
20:40:25.0,,TWR-A Muscle twelve contact Andrews Tower one one eight point four. DCA-LC Muscle twelve contact Andrews Tower one one eight point four.,
20:40:28.1,,MUSL12 Muscle twelve switching thank you. MUSL12 Muscle twelve switching thank you. [loud static in background],
20:40:29.9,,TWR-A you're welcome. Bluestreak fifty one seventy two contact DCA-LC you're welcome. Bluestreak fifty one seventy two contact departure. Potomac Departure. [addressing Bluestreak 5125],
20:40:33.3,,TWR-A correction Bluestreak fifty one twenty five contact departure. DCA-LC correction Bluestreak fifty one twenty five contact Potomac Departure.,
20:40:36.0,,JIA5125 fifty one twenty five's goin' to departure see ya.,
20:40:38.0,,TWR-A *. DCA-LC see ya.,
20:40:40.9,,TWR-A Bluestreak fifty one sixty four Washington Tower * circle runway DCA-LC Bluestreak fifty one sixty four Washington Tower traffic four out three three * traffic on a eight mile final for runway one line up circling for runway three three additional traffic on a eight mile and wait. [transmission broken] final for runway one line up and wait.,
20:40:48.5,,,JIA5164 runway one line up and wait Bluestreak fifty one sixty four.
20:40:50.9,,TWR-A * twenty three fifty five Washington Tower winds are three two DCA-LC JetBlue twenty three fifty five Washington Tower winds are three direct one four gust two six traffic * * arrivals runway one. two zero at one four gusts two six traffic departs prior to your [transmission broken] arrival. runway one cleared to land.,
20:40:58.8,,JBU2355 cleared to land runway one JetBlue twenty three fifty five.,
20:41:07.0,,TWR-A Bluestreak fifty two forty seven when able left turn november * DCA-LC Bluestreak fifty two four seven if able left turn november if not left three three. turn three three.,
20:41:11.4,,,JIA5247 uh left on november Bluestreak fifty two forty seven.
20:41:14.5,,TWR-A Bluestreak * * thank you left turn november ground. DCA-LC Bluestreak fifty two four seven thank you left turn november ground point seven.,
20:41:17.5,,JIA5247 over to ground fifty two forty seven.,
20:41:19.8,,TWR-A Bluestreak fifty one sixty four winds are three two direct one five DCA-LC Bluestreak fifty one sixty four winds are three two zero at one gust * traffic * for runway three three runway one clear for five gusts two six traffic three out for runway three three runway takeoff. one cleared for takeoff.,
20:41:26.9,,,JIA5164 runway one cleared for takeoff Bluestreak fifty one sixty four.
20:41:35.1,INT-1 alright Blackjack's already cleared the p's so he's not going to be a factor for us.,,
20:41:40.0,INT-2 yeah.,,
20:41:42.8,INT-1 and what did we request one to four? so we'll head straight down the river.,,
20:41:47.1,INT-2 one for Hains...and...four,,
20:42:03.2,,BLJK1 tower Blackjack one Memorial Bridge. BLJK1 tower Blackjack one Memorial Bridge.,
20:42:06.4,INT-1 *.,,
20:42:08.7,,TWR-A Blackjack one roger. DCA-LC Blackjack one roger.,
20:42:12.5,INT-1 I did not hear his route...after...,,
20:42:14.5,INT-2 the Memorial.,,
20:42:15.4,INT-1 yeah.,,
20:42:16.1,INT-2 I don't see him yet.,,
20:42:18.0,INT-1 * he's gonna be down in the lights.,,
20:42:19.4,,TWR-A Bluestreak fifty one sixty four contact departure. DCA-LC Bluestreak fifty one sixty four contact Potomac Departure,
20:42:22.2,,,JIA5164 departure Bluestreak fifty sixty four.
20:42:31.2,,,JIA5307 tower Bluestreak fifty three zero seven Mount Vernon Visual to one.
20:42:35.0,,TWR-A * * hold * * *. DCA-LC Jazz seven eight nine tower pull to hold short runway one you'll be next for departure.,
20:42:36.5,INT-1 * the Chain Bridge at seven hundred feet. good. next'll be Key Bridge we'll be down to three hundred.,,
20:42:38.3,,JZA789 pull up hold short one checker marks Jazz seven eight nine.,
20:42:42.1,,TWR-A Bluestreak fifty three zero seven Washington Tower winds are DCA-LC Bluestreak fifty three zero seven Washington Tower winds are three two direct one seven gust two five can you take runway three two zero at one seven gusts two five can you take runway three three? three three?,
20:42:43.2,INT-2 I see it. to the left.,,
20:42:48.0,,JIA5307 unable tonight.,
20:42:49.3,,TWR-A Bluestreak fifty three zero seven roger runway one cleared to DCA-LC Bluestreak fifty three zero seven roger runway one cleared to land traffic * prior to arrival. land traffic will depart prior to your arrival.,
20:42:54.6,,,"JIA5307 cleared to land one Bluestreak fifty three zero seven. The CRJ (JIA5342, callsign Bluestreak 5342) joins the DCA Tower frequency. The CVR transcript from the CRJ is included from this point forward."
20:43:06.3,,,JIA5342 tower Bluestreak fifty three forty two on Mount Vernon Visual RDO-2 tower Bluestreak fifty three forty two on Mount Vernon Visual runway one. runway one.
20:43:09.3,,TWR-A Bluestreak fifty three forty two Washington Tower winds are DCA-LC Bluestreak fifty three forty two Washington Tower winds are TWR-A Bluestreak fifty three forty two Washington Tower winds are three two direct one seven gust five can you take runway three three two zero at one seven gusts two five can you take runway three two zero at one seven gusts two five can you take runway three? three three? three three?,
20:43:17.9,,,HOT-1 do we got the numbers for it?
20:43:19.5,,,HOT-2 yeah I think so.
20:43:20.1,,TWR-A Bluestreak fifty one seventy eight left turn at sierra ground point DCA-LC Bluestreak fifty one seventy eight left turn at sierra ground point TWR-A Bluestreak fifty one seventy eight left turn at sierra ground point seven. seven.[addressing Bluestreak 5170] seven.,
20:43:23.0,,,HOT-2 yeah.
20:43:24.6,,,HOT-2 it's uh it's the same numbers.
20:43:25.6,,JIA5170 left sierra ground point seven fifty one seventy. JIA5170 * * ground point seven fifty one seventy.,
20:43:29.1,,,HOT-1 I really don't want to but I guess uhhh tell 'em—.
20:43:31.4,,,HOT-2 I mean I can just tell 'em—.
20:43:33.2,,,HOT-1 nah it’s fine we got the numbers for it yeah tell 'em we're fine we'll do three three we'll do it.
20:43:37.0,,,JIA5342 yeah we can do uh three three for Bluestreak fifty three forty two. RDO-2 yeah we can do uh three three for Bluestreak fifty three forty two.
20:43:39.7,,TWR-A Bluestreak fifty three forty two at the Wilson Bridge change to * DCA-LC Bluestreak fifty three forty two at the Wilson Bridge change to TWR-A Bluestreak fifty three forty two at the Wilson Bridge change to change to runway three three runway three three. [transmission cir— change to circ(le) runway three three. runway three three cir— * change to circ— * runway three three. runway three three broken] cleared to land. cleared to land.,
20:43:40.0,INT-2 gettin choppy close to the ground.,,
20:43:43.5,INT-1 oh yeah down low its definitely gonna get choppy.,,
20:43:45.8,INT-2 yeah.,,
20:43:46.3,,,JIA5342 change to runway three three uh runway three three cleared to RDO-2 change to runway three three uh runway three three cleared to land Bluestreak fifty three forty two. land Bluestreak fifty three forty two.
20:43:47.7,INT-2 we're at three hundred.,,
20:43:49.8,INT-1 roger got you at four looking for *.,,
20:43:51.6,,TWR-A Blackjack one landing at boardwalk will be at your own risk when DCA-LC Blackjack one landing bal— at the boardwalk will be at your own TWR-A Blackjack one land * * land at the boardwalk will be at your own able report landing assured winds are currently three three direct risk when able report landing assured winds are currently three risk when able report landing assured winds are currently three one five gust two five. three zero at one five gusts two five. three zero at one five gust two five.,
20:43:54.0,,,HOT-1 three three.
20:43:59.7,,BLJK1 landing own risk and wilco for Blackjack one copy the winds BLJK1 landing own risk and wilco for Blackjack one copy the winds thanks. thanks.,
20:44:07.4,,,HOT-1 thousand feet at the uh highway. five hundred over the church.
20:44:08.6,,,EGPWS twenty five hundred. [automated voice]
20:44:15.6,,TWR-A * * traffic on * four mile final runway one line up and wait * ready DCA-LC Jazz seven eight nine traffic on three to four mile final runway TWR-A Jazz seven eight nine traffic will be on a four mile final runway to go. one line up and wait be ready to go. one lineup and wait be ready to go.,
20:44:16.4,,,HOT-2 all right yep.
20:44:19.7,,JZA789 line up and wait we'll be ready Jazz seven eight nine. JZA789 line up and wait we'll be ready Jazz seven eight nine.,
20:44:27.3,INT-1 alright there's three hundred for two hundred. HOT-1 I'll just disconnect everything and we'll go from there.,,
20:44:29.2,,TWR-A Bluestreak fifty three zero five currently number two for departure DCA-LC Bluestreak fifty three zero five tower be number two for departure TWR-A Bluestreak fifty three zero five currently number two for departure following an American seven three off your left. follow that American seven three off your left. following an American seven three off your left.,
20:44:31.7,,,HOT-1 all right.
20:44:34.2,,,JIA5305 Bluestreak fifty three zero five. JIA5305 Bluestreak fifty three zero five.
20:44:35.1,,,HOT-1 * go gear down flaps thirty.
20:44:35.9,,TWR-A Delta eight thirty two currently number three following an DCA-LC Delta eight thirty two tower be number three follow that American TWR-A Delta eight thirty two currently number three following the American C-R-J. C-R-J. American C-R-J.,
20:44:37.2,,,HOT-2 gear down.
20:44:37.3,,,CAM [increase in ambient noise consistent with gear deployment]
20:44:39.4,,DAL832 number three after the C-R-J Delta eight fi— eight thirty two. DAL832 number three after the C-R-J.,
20:44:39.5,,,HOT-2 flaps thirty.
20:44:40.6,,,HOT-1 flaps forty five before landing checklist.
20:44:41.9,,TWR-A * twenty three fifty five left turn november ground point seven DCA-LC JetBlue twenty three fifty five left turn november ground point TWR-A JetBlue twenty three fifty five left on november ground point good day. seven good day. seven have a good day.,
20:44:43.7,,,HOT-2 flaps forty five.
20:44:46.0,,,HOT-2 thrust reverser armed. landing gear lever verify down three green.
20:44:46.1,,JBU2355 I think we're gonna miss november can we take the runway? JBU2355 * * * november can we take the runway?,
20:44:48.4,,TWR-A looks like you have november. let me know if you have it. DCA-LC looks like you have november let me know if you have it. TWR-A looks like you have november let me know if you have it.,
20:44:51.9,,,HOT-1 uh down three green.
20:44:53.0,,,HOT-2 slats flaps verify forty five degrees * indicating.
20:44:54.6,,JBU2355 yeah we got november for JetBlue twenty three fifty five. JBU2355 yeah we got november for JetBlue twenty three fifty five.,
20:44:55.3,INT-2 two hundred. HOT-1 forty five degrees indicating.,,
20:44:56.2,,,HOT-2 flight spoilers verify stowed.
20:44:56.9,,TWR-A alright. ground point seven good day. DCA-LC alright. ground point seven good day. TWR-A * ground point seven have a good day.,
20:44:57.6,,,HOT-1 they're stowed.
20:44:58.5,,JBU2355 ground point seven we'll see ya. JBU2355 ground point seven * *.,
20:44:58.5,,,HOT-2 before landing checklist is complete.
20:45:00.2,,,HOT-1 thank you.
20:45:00.3,,TWR-A * seven * winds are three two direct one five gust two five * * no DCA-LC Jazz seven eight nine winds are three two zero at one five gusts TWR-A Jazz seven eight nine winds are three two zero at one five gust delays runway one. two five traffic two out no delay runway one cleared for takeoff. two five traffic's two out no delay runway one cleared for takeoff.,
20:45:06.2,,JZA789 cleared takeoff runway one no delay Jazz seven eight nine. JZA789 cleared takeoff runway one no delay Jazz seven eight nine.,
20:45:09.3,,BLJK1 Blackjack one landing assured boardwalk good night. BLJK1 Blackjack one landing assured boardwalk good night.,
20:45:11.3,,,HOT-1 lets see... approaches... approaches... I dunno * *.
20:45:11.7,,TWR-A Blackjack one roger freq change approved good night. DCA-LC Blackjack one roger frequency change approved good night. TWR-A * * * frequency change approved good night.,
20:45:14.0,RDO-1 PAT two five Memorial. PAT25 PAT two five Memorial. [loud static in background],,
20:45:14.5,INT-2 *.,,
20:45:16.1,,TWR-A PAT two five roger. DCA-LC PAT two five roger. TWR-A PAT two five roger.,
20:45:17.1,INT-2 alright.,,
20:45:17.8,INT-1 lots of right pedal ma'am.,,
